confirmed_date,recovered,deceased
3/2/20,0,0
3/3/20,0,0
3/4/20,0,0
3/5/20,0,0
3/6/20,0,0
3/7/20,0,0
3/8/20,0,0
3/9/20,0,0
3/10/20,0,1
3/11/20,0,0
3/12/20,0,0
3/13/20,0,0
3/14/20,0,0
3/15/20,0,0
3/16/20,0,0
3/17/20,1,1
3/18/20,0,0
3/19/20,1,0
3/20/20,0,1
3/21/20,1,0
3/22/20,0,1
3/23/20,1,0
3/24/20,2,1
3/25/20,1,1
3/26/20,1,4
3/27/20,3,11
3/28/20,0,3
3/29/20,2,2
3/30/20,1,7
3/31/20,10,3
4/1/20,2,1
4/2/20,4,7
4/3/20,26,3
4/4/20,9,11
4/5/20,6,11
4/6/20,10,11
4/7/20,12,10
4/8/20,4,3
4/9/20,12,4
4/10/20,13,10
4/11/20,24,4
4/12/20,31,7
4/13/20,26,8
4/14/20,14,0
4/15/20,12,1
4/16/20,20,3
4/17/20,32,5
4/18/20,33,2
4/19/20,13,4
4/20/20,23,2
4/21/20,43,2
4/22/20,24,4
4/23/20,39,6
4/24/20,30,3
4/25/20,51,1
4/26/20,56,2
4/27/20,102,1
4/28/20,83,3
4/29/20,150,3
4/30/20,56,2
5/01/20,99,1
5/02/20,173,2
